,NOMBRE,LOCALIDAD,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD
190,Viviendas y comercio para Rafael Sánchez,MADRID,28013,JUSTICIA,CENTRO,,
191,Viviendas y comercios para Francisco Escriña,MADRID,0,PALACIO,CENTRO,40.42291755243886,-3.710706208243318
192,Viviendas y oficinas,MADRID,28013,PALACIO,CENTRO,40.421150945618855,-3.70790571351788
193,Viviendas y oficinas,MADRID,28015,UNIVERSIDAD,CENTRO,40.42348740281791,-3.710334985725268
194,Viviendas y oficinas,MADRID,0,PALACIO,CENTRO,40.4208657051662,-3.707407641201163
195,Viviendas y oficinas,MADRID,0,UNIVERSIDAD,CENTRO,40.42204991423245,-3.7082216221580415
196,Viviendas y oficinas para el vizconde de Escoriaza,MADRID,28004,JUSTICIA,CENTRO,40.420196449810746,-3.700434184151691
197,Viviendas y oficinas para Hilario Ruiz,MADRID,0,PALACIO,CENTRO,40.42260479210528,-3.710290337398356
198,Viviendas y oficinas para Jesús de Murga,MADRID,28004,JUSTICIA,CENTRO,40.42019974167522,-3.7013772230560367
199,Viviendas y oficinas para Jesús Ussia y Cubas y Cine Azul,MADRID,0,UNIVERSIDAD,CENTRO,40.42326392942259,-3.710049720738175
200,Viviendas y oficinas para José María Cano,MADRID,0,UNIVERSIDAD,CENTRO,40.420527912725234,-3.7051880312562
201,Viviendas y oficinas para José María de Antonio Becerril,MADRID,28004,JUSTICIA,CENTRO,40.41960571610798,-3.6983063152074473
202,Viviendas y oficinas para José Pérez Pla,MADRID,0,UNIVERSIDAD,CENTRO,40.42230899265851,-3.708577977039153
203,Viviendas y oficinas para Juan Miralles Sesé,MADRID,0,PALACIO,CENTRO,40.42230263063633,-3.709615247532299
204,Viviendas y oficinas para la Constructora Calpense,MADRID,28013,SOL,CENTRO,40.41983659667071,-3.7033183883781584
205,Viviendas y oficinas para Leopoldo García,MADRID,0,PALACIO,CENTRO,40.421052935047896,-3.7077278705268566
206,Viviendas y oficinas para Rafael Calabuig,MADRID,28013,UNIVERSIDAD,CENTRO,40.4219249510091,-3.708031705868069
207,Viviendas y oficinas para Ramón Saiz de Carlos,MADRID,0,SOL,CENTRO,40.419884476559766,-3.704332612294412
208,Viviendas y oficinas para Santos Suárez y Compañía,MADRID,28013,PALACIO,CENTRO,40.42090959335688,-3.707596703829156
209,Viviendas y oficinas para Seguros La Estrella,MADRID,28013,CORTES,CENTRO,40.41925983291224,-3.698892108659167
210,Viviendas y teatro Fontalba para el marqués de Cubas y Fontalba,MADRID,28004,UNIVERSIDAD,CENTRO,40.42043538395938,-3.702629155979836
211,Zoo Aquarium de Madrid,MADRID,0,,DISTRITO,40.41176029757209,-3.761360271036638
